bp_num_ips,bp_num_tm,code_upw,upw,bp_nm,type_etablissement,postal_cd
3345.0,775,15,UPW TIZI OUZOU,ALMA BENI ZMENZER,ETAB  ,15029
3469.0,776,15,UPW TIZI OUZOU,AZAZGA VILLE,ETAB  ,15162
3346.0,777,15,UPW TIZI OUZOU,BENI YENNI,ETAB  ,15030
3347.0,778,15,UPW TIZI OUZOU,BOUDJIMA,ETAB  ,15031
3348.0,779,15,UPW TIZI OUZOU,BOUNOUH,ETAB  ,15032
3350.0,780,15,UPW TIZI OUZOU,DJEMAA SAHARIDJ,ETAB  ,15034
3351.0,781,15,UPW TIZI OUZOU,IFIGHA,ETAB  ,15035
3352.0,782,15,UPW TIZI OUZOU,IGUERSAFENE,ETAB  ,15036
3353.0,783,15,UPW TIZI OUZOU,ILLILTEN,ETAB  ,15037
3354.0,784,15,UPW TIZI OUZOU,ILLOULA OUMALOU,ETAB  ,15038
3356.0,786,15,UPW TIZI OUZOU,IZARAZENE,ETAB  ,15040
3357.0,787,15,UPW TIZI OUZOU,MAKOUDA,ETAB  ,15041
3358.0,788,15,UPW TIZI OUZOU,MECHTRAS,ETAB  ,15042
3359.0,789,15,UPW TIZI OUZOU,SIDI NAAMANE,ETAB  ,15043
3360.0,790,15,UPW TIZI OUZOU,SOUAMA,ETAB  ,15044
3361.0,791,15,UPW TIZI OUZOU,TAGUEMOUNT AZOUZ,ETAB  ,15045
3362.0,792,15,UPW TIZI OUZOU,TAMDA,ETAB  ,15046
3363.0,793,15,UPW TIZI OUZOU,TIGHILT BOUGHENI,ETAB  ,15047
3364.0,794,15,UPW TIZI OUZOU,TIKOBAIN,ETAB  ,15048
3365.0,795,15,UPW TIZI OUZOU,TIRMITINE,ETAB  ,15049
3366.0,796,15,UPW TIZI OUZOU,TIZI N TLETA,ETAB  ,15050
3367.0,797,15,UPW TIZI OUZOU,TIZI RACHED,ETAB  ,15051
3368.0,798,15,UPW TIZI OUZOU,YAKOUREN,ETAB  ,15052
3369.0,799,15,UPW TIZI OUZOU,YATAFENE,ETAB  ,15053
3394.0,800,15,UPW TIZI OUZOU,ABIZAR,ETAB  ,15078
3395.0,801,15,UPW TIZI OUZOU,ADILA TAMDIKHT,ETAB  ,15079
4930.0,802,15,UPW TIZI OUZOU,AIT-KHELLILI,ETAB  ,15080
3370.0,803,15,UPW TIZI OUZOU,AGOUNI BOUAFIR,ETAB  ,15054
3371.0,804,15,UPW TIZI OUZOU,AGOUNI BOURAGH,ETAB  ,15055
3396.0,805,15,UPW TIZI OUZOU,AGOUNI OUFEKOUS,ETAB  ,15081
4931.0,806,15,UPW TIZI OUZOU,AGOUNI OUZARAZ,ETAB  ,15082
3372.0,807,15,UPW TIZI OUZOU,AIN ZAOUIA,ETAB  ,15056
4210.0,946,26,UPW MEDEA,BRAHIMI MOHAMED,ETAB  ,26056
4180.0,947,26,UPW MEDEA,CHAHBOUNIA,ETAB  ,26026
4211.0,948,26,UPW MEDEA,CHENIGUEL,ETAB  ,26057
4212.0,949,26,UPW MEDEA,DEUX BASSINS,ETAB  ,26058
4213.0,950,26,UPW MEDEA,EL AOUINET,ETAB  ,26059
4214.0,951,26,UPW MEDEA,EL HAMDANIA,ETAB  ,26060
4181.0,952,26,UPW MEDEA,HANNACHA,ETAB  ,26027
4215.0,953,26,UPW MEDEA,HARBIL,ETAB  ,26061
4216.0,954,26,UPW MEDEA,KHAMS DJOUAMAA,ETAB  ,26062
4182.0,955,26,UPW MEDEA,KSAR EL BOUKHARI BELKHEIRET  ,ETAB  ,26028
4183.0,956,26,UPW MEDEA,KSAR EL BOUKHARI CHAOUI  ,ETAB  ,26029
4184.0,957,26,UPW MEDEA,MAARIK EL MALAH,ETAB  ,26030
4217.0,958,26,UPW MEDEA,MAGHRAOUA,ETAB  ,26063
4185.0,959,26,UPW MEDEA,MEDEA MERDJECHKIR,ETAB  ,26031
4186.0,960,26,UPW MEDEA,MIHOUB,ETAB  ,26032
4187.0,961,26,UPW MEDEA,MOUDJEBEUR,ETAB  ,26033
4188.0,962,26,UPW MEDEA,OUAMRI,ETAB  ,26034
4189.0,963,26,UPW MEDEA,OULED ANTAR,ETAB  ,26035
4218.0,964,26,UPW MEDEA,OULED BOUACHERA,ETAB  ,26064
4190.0,965,26,UPW MEDEA,OULED BRAHIM,ETAB  ,26036
4191.0,966,26,UPW MEDEA,OULED HELLAL,ETAB  ,26037
4192.0,967,26,UPW MEDEA,OULED MAAREUF,ETAB  ,26038
4219.0,968,26,UPW MEDEA,OUM EL DJELLIL,ETAB  ,26065
4193.0,969,26,UPW MEDEA,REBAIA,ETAB  ,26039
4220.0,970,26,UPW MEDEA,REZARZA,ETAB  ,26066
4221.0,971,26,UPW MEDEA,SANEG,ETAB  ,26067
4194.0,972,26,UPW MEDEA,SEBT AZIZ,ETAB  ,26040
4222.0,973,26,UPW MEDEA,SEDRAIA,ETAB  ,26068
4195.0,974,26,UPW MEDEA,SEGHOUANE,ETAB  ,26041
4196.0,975,26,UPW MEDEA,SERIAT,ETAB  ,26042
4199.0,976,26,UPW MEDEA,SI MAHDJOUB,ETAB  ,26045
4223.0,977,26,UPW MEDEA,SIDI DAMED,ETAB  ,26069
4224.0,978,26,UPW MEDEA,SIDI ERRABIE,ETAB  ,26070
4225.0,979,26,UPW MEDEA,SIDI MAHIEDDINE,ETAB  ,26071
4197.0,980,26,UPW MEDEA,SIDI NAAMANE,ETAB  ,26043
4198.0,981,26,UPW MEDEA,ALLALI MESSAOUD,ETAB  ,26044
4226.0,982,26,UPW MEDEA,SIDI ZAHAR,ETAB  ,26072
4227.0,983,26,UPW MEDEA,SIDI ZIANE,ETAB  ,26073
4228.0,984,26,UPW MEDEA,TAFRAOUT,ETAB  ,26074
4229.0,985,26,UPW MEDEA,TAMESGUIDA,ETAB  ,26075
4230.0,986,26,UPW MEDEA,TIZI MAHDI,ETAB  ,26076
4200.0,987,26,UPW MEDEA,TLETAT EDDOUAIRS,ETAB  ,26046
4232.0,988,26,UPW MEDEA,MEDEA-TAKBOU,ETAB  ,26078
4233.0,989,26,UPW MEDEA,KERMET-CHIHA,ETAB  ,26079
4234.0,990,26,UPW MEDEA,EL-GOUEA,ETAB  ,26080
4235.0,991,26,UPW MEDEA,OULED-EL HADJ,ETAB  ,26081
4236.0,993,26,UPW MEDEA,MEDEA UNIVERSITE,ETAB  ,26082
4237.0,996,26,UPW MEDEA,MEDEA YAHIA FARES,ETAB  ,26083
4241.0,997,26,UPW MEDEA,MEDEA RESIDENCE UNIVERSITAIRE 1500 LITS,ETAB  ,26087
4242.0,998,26,UPW MEDEA,MEDEA RESIDENCE UNIVERSITAIRE 2000 LITS,ETAB  ,26088
355.0,999,10,UPW BOUIRA,BOUIRA RP,ETAB  ,10000
1766.0,1000,10,UPW BOUIRA,SAID ABID,ETAB  ,10084
1731.0,1001,10,UPW BOUIRA,ZEBOUDJA ,ETAB  ,10046
356.0,1002,10,UPW BOUIRA,"BOUIRA H,EL,BADR",ETAB  ,10001
359.0,1003,10,UPW BOUIRA,"BOUIRA D,EL BORDJ",ETAB  ,10018
1772.0,1004,10,UPW BOUIRA,THAMEUR,ETAB  ,10091
1704.0,1005,10,UPW BOUIRA,"BOUIRA H, SAID ",ETAB  ,10017
1713.0,1006,10,UPW BOUIRA,OULED BOUCHIA,ETAB  ,10027
1780.0,1007,10,UPW BOUIRA,"BOUIRA,B,IZHABI",ETAB  ,10101
360.0,1008,10,UPW BOUIRA,M CHEDALLAH ,ETAB  ,10003
1719.0,1009,10,UPW BOUIRA,AIN TURK,ETAB  ,10033
1721.0,1010,10,UPW BOUIRA,BAHALIL,ETAB  ,10035
1333.0,1011,10,UPW BOUIRA,BECHLOUL ,ETAB  ,10012
1737.0,1012,10,UPW BOUIRA,BENI HAMDOUNE,ETAB  ,10053
1720.0,1013,10,UPW BOUIRA,AIT LAAZIZ,ETAB  ,10034
1705.0,1014,10,UPW BOUIRA,CHORFA ,ETAB  ,10019
1707.0,1015,10,UPW BOUIRA,EL ADJIBA,ETAB  ,10021
1708.0,1016,10,UPW BOUIRA,EL ESNAM ,ETAB  ,10022
1747.0,1017,10,UPW BOUIRA,GUENTOUR,ETAB  ,10063
1710.0,1018,10,UPW BOUIRA,HAIZER,ETAB  ,10024
1755.0,1019,10,UPW BOUIRA,MERKALLA,ETAB  ,10073
1758.0,1020,10,UPW BOUIRA,OUED EL KHEMIS,ETAB  ,10076
1763.0,1021,10,UPW BOUIRA,OULED RACHED,ETAB  ,10081
1728.0,1022,10,UPW BOUIRA,SAHARIDJ ,ETAB  ,10043
1770.0,1023,10,UPW BOUIRA,TAGHZOUT,ETAB  ,10089
1694.0,1024,10,UPW BOUIRA,AGHBALOU ,ETAB  ,10007
1700.0,1025,10,UPW BOUIRA,ATH MANSOUR ,ETAB  ,10011
1695.0,1026,10,UPW BOUIRA,AHL EL KSAR ,ETAB  ,10008
1736.0,1027,10,UPW BOUIRA,BENI HAMAD,ETAB  ,10052
1716.0,1028,10,UPW BOUIRA,AHNIF,ETAB  ,10030
1751.0,1029,10,UPW BOUIRA,IGHIL NAIT AMEUR,ETAB  ,10068
1767.0,1030,10,UPW BOUIRA,SELLOUM,ETAB  ,10086
1768.0,1031,10,UPW BOUIRA,SEMMACHE,ETAB  ,10087
1774.0,1032,10,UPW BOUIRA,TIKSIRIDENE,ETAB  ,10093
1775.0,1033,10,UPW BOUIRA,TOGHZA,ETAB  ,10095
1727.0,1034,10,UPW BOUIRA,RAFFOUR ,ETAB  ,10041
1702.0,1035,10,UPW BOUIRA,BOUAKLANE,ETAB  ,10015
1735.0,1036,10,UPW BOUIRA,ATH BOUALI,ETAB  ,10050
1779.0,1037,10,UPW BOUIRA, IGHREM ,ETAB  ,10100
361.0,1038,10,UPW BOUIRA,LAKHDARIA ,ETAB  ,10002
1697.0,1039,10,UPW BOUIRA,AOMAR ,ETAB  ,10010
1703.0,1040,10,UPW BOUIRA,BOUDERBALLA,ETAB  ,10016
1722.0,1041,10,UPW BOUIRA,DJEBAHIA ,ETAB  ,10036
1742.0,1042,10,UPW BOUIRA,EL MADJEN,ETAB  ,10059
1723.0,1043,10,UPW BOUIRA,GUERROUMA ,ETAB  ,10037
358.0,1044,10,UPW BOUIRA,KADIRIA,ETAB  ,10006
1725.0,1045,10,UPW BOUIRA,MAALA,ETAB  ,10039
1754.0,1046,10,UPW BOUIRA,MCID ZBARBORA,ETAB  ,10072
1764.0,1047,10,UPW BOUIRA,OULED TCHALABI,ETAB  ,10082
1732.0,1048,10,UPW BOUIRA,ZOUABRIA,ETAB  ,10047
1771.0,1049,10,UPW BOUIRA,TILIOUINE,ETAB  ,10090
1738.0,1050,10,UPW BOUIRA,BOUKRAM GADIR,ETAB  ,10054
1760.0,1051,10,UPW BOUIRA,OULED GACEM,ETAB  ,10078
1748.0,1052,10,UPW BOUIRA,GUERGOUR,ETAB  ,10064
1712.0,1053,10,UPW BOUIRA,LAKHDARIA 5 JUILLET,ETAB  ,10026
1711.0,1054,10,UPW BOUIRA,KADIRIA 1ER NOV,ETAB  ,10025
1777.0,1055,10,UPW BOUIRA,KRICHICHE,ETAB  ,10098
1778.0,1056,10,UPW BOUIRA,BEN HAROUNE,ETAB  ,10099
362.0,1057,10,UPW BOUIRA,SOUR EL GHOZLANE,ETAB  ,10004
1332.0,1058,10,UPW BOUIRA,BORDJ OKHRISS,ETAB  ,10014
1740.0,1059,10,UPW BOUIRA,DECHMYA,ETAB  ,10057
1706.0,1060,10,UPW BOUIRA,DIRAH,ETAB  ,10020
1746.0,1061,10,UPW BOUIRA,GUELT ZERGA,ETAB  ,10062
1749.0,1062,10,UPW BOUIRA,HADJER ZERGA,ETAB  ,10065
1753.0,1063,10,UPW BOUIRA,MAAMORA,ETAB  ,10071
1726.0,1064,10,UPW BOUIRA,MESDOUR,ETAB  ,10040
1730.0,1065,10,UPW BOUIRA,TAGUEDITE,ETAB  ,10045
1776.0,1066,10,UPW BOUIRA,ZEBARA,ETAB  ,10096
1734.0,1067,10,UPW BOUIRA,AIN TERZINE,ETAB  ,10049
1741.0,1068,10,UPW BOUIRA,EL HAKIMIA,ETAB  ,10058
1765.0,1069,10,UPW BOUIRA,RIDANE,ETAB  ,10083
1714.0,1070,10,UPW BOUIRA,"S.E,G AZOUZ",ETAB  ,10028
1715.0,1071,10,UPW BOUIRA,"S,E,G MEBARKI TAYEB",ETAB  ,10029
357.0,1072,10,UPW BOUIRA,"AIN BESSEM,HACHMI MADANI",ETAB  ,10005
1717.0,1073,10,UPW BOUIRA,AIN EL HADJAR,ETAB  ,10031
1718.0,1074,10,UPW BOUIRA,AIN LALOUI ,ETAB  ,10032
1701.0,1075,10,UPW BOUIRA,BIR GHBALOU,ETAB  ,10013
1205.0,1206,42,UPW TIPAZA,KHEMISTI PORT ,ETAB  ,42033
2396.0,1207,42,UPW TIPAZA,KAID YOUCEF ,ETAB  ,42031
1204.0,1208,42,UPW TIPAZA,KERKOUBA ,ETAB  ,42032
1201.0,1209,42,UPW TIPAZA,KOLEA HAY BILLEL ,ETAB  ,42034
1211.0,1210,42,UPW TIPAZA,LOUDALOUSE ,ETAB  ,42035
2401.0,1211,42,UPW TIPAZA,MESSELMOUN ,ETAB  ,42036
1216.0,1212,42,UPW TIPAZA,NADOR ,ETAB  ,42038
2404.0,1213,42,UPW TIPAZA,NADOR SIDI MOUSSA ,ETAB  ,42039
1215.0,1214,42,UPW TIPAZA,MOHAMED EL BACHIR ,ETAB  ,42037
2406.0,1215,42,UPW TIPAZA,SIDI-SEMIANE,ETAB  ,42041
1223.0,1216,42,UPW TIPAZA,SIDI RACHED ,ETAB  ,42040
1226.0,1217,42,UPW TIPAZA,TEMLOUL ,ETAB  ,42042
1218.0,1218,42,UPW TIPAZA,GOURAYA OUED SEBT ,ETAB  ,42028
1173.0,1219,42,UPW TIPAZA,GOURAYA BOIS SACRE ,ETAB  ,42058
2410.0,1220,42,UPW TIPAZA,EL BELDJ ,ETAB  ,42045
2411.0,1221,42,UPW TIPAZA,FADJANA BEN YACOUB ,ETAB  ,42046
1194.0,1222,42,UPW TIPAZA,FADJANA ,ETAB  ,42056
2419.0,1223,42,UPW TIPAZA,EL HAMIDIA ,ETAB  ,42054
2426.0,1224,42,UPW TIPAZA,EL HOUARI AHMED ,ETAB  ,42061
1172.0,1225,42,UPW TIPAZA,BRAHIM BEN OMAR ,ETAB  ,42050
1166.0,1226,42,UPW TIPAZA,AIN LAHDJAR ,ETAB  ,42044
1171.0,1227,42,UPW TIPAZA,BERBESSA ,ETAB  ,42047
1177.0,1228,42,UPW TIPAZA,BOUTELDJA ,ETAB  ,42048
1188.0,1229,42,UPW TIPAZA,DOUAOUDA ISLAH ,ETAB  ,42053
2417.0,1230,42,UPW TIPAZA,DOUAOUDA OLIVIER ,ETAB  ,42052
2416.0,1231,42,UPW TIPAZA,CITE RAHMANE ,ETAB  ,42051
2433.0,1232,42,UPW TIPAZA,CHERCHELL MOUCHETTE ,ETAB  ,42068
1182.0,1233,42,UPW TIPAZA,CHERCHELL TERRE  ,ETAB  ,42067
1185.0,1234,42,UPW TIPAZA,CINQ MARTYRS ,ETAB  ,42043
1191.0,1235,42,UPW TIPAZA,EL HAMDANIA ,ETAB  ,42059
2427.0,1236,42,UPW TIPAZA,SIDI GHIAT  MOHAMED ARAB,ETAB  ,42062
1198.0,1237,42,UPW TIPAZA,GHARDOUS ,ETAB  ,42057
1178.0,1238,42,UPW TIPAZA,BOUYEGHSENE ,ETAB  ,42049
2425.0,1239,42,UPW TIPAZA,LARHAT LES MINES ,ETAB  ,42060
1207.0,1240,42,UPW TIPAZA,KOLEA ICHARA ,ETAB  ,42070
2429.0,1241,42,UPW TIPAZA,TEFSASSINE ,ETAB  ,42064
2434.0,1242,42,UPW TIPAZA,CHERCHELL ABANE RAMDANE ,ETAB  ,42069
1193.0,1243,42,UPW TIPAZA,ERRAHABA ,ETAB  ,42055
2430.0,1244,42,UPW TIPAZA,TIPAZA-UNIVERSITE,ETAB  ,42065
2431.0,1245,42,UPW TIPAZA,KOLEA-UNIVERSITE,ETAB  ,42066
,1247,35,UPW BOUMERDES,UPW BOUMERDES,ETAB  ,35999
,1248,9,UPW BLIDA,UPW BLIDA,ETAB  ,9999
,1249,10,UPW BOUIRA,UPW BOUIRA,ETAB  ,10999
,1250,26,UPW MEDEA,UPW MEDEA,ETAB  ,26999
,1251,15,UPW TIZI OUZOU,UPW TIZI OUZOU,ETAB  ,15999
,1252,42,UPW TIPAZA,UPW TIPAZA,ETAB  ,42999
4201.0,1254,26,UPW MEDEA,VIEUX KSAR,ETAB  ,26047
,1255,16,UPW ALGER CENTRE,Direction Générale,ETAB  ,99999
3397.0,1257,15,UPW TIZI OUZOU,AIT ATTELI,ETAB  ,15083
3355.0,1262,15,UPW TIZI OUZOU,IRDJEN,ETAB  ,15039
3427.0,1265,15,UPW TIZI OUZOU,HENIA,ETAB  ,15115
3472.0,1267,15,UPW TIZI OUZOU,AIN  HAMMAM SIDI SAID,ETAB  ,15165
3416.0,1269,15,UPW TIZI OUZOU,BERKOUKA AMARA AKLI,ETAB  ,15103
3417.0,1270,15,UPW TIZI OUZOU,BOUHBHIR,ETAB  ,15104
1980.0,1271,9,UPW BLIDA,ECOLE DE POLICE SOUMAA,ETAB  ,9074
1979.0,1272,9,UPW BLIDA,BLIDA INTENDANCE,ETAB  ,9073
3887.0,1274,31,UPW ORAN,ORAN-RP,ETAB  ,31000
262.0,1275,31,UPW ORAN,BIR-EL-DJIR Cdt GUERRAB Med,ETAB  ,31001
267.0,1276,31,UPW ORAN,ORAN-HOUHA-MOHAMED,ETAB  ,31002
270.0,1277,31,UPW ORAN,ORAN-SAIM-MOHAMED,ETAB  ,31003
3891.0,1278,31,UPW ORAN,ARZEW,ETAB  ,31004
3892.0,1279,31,UPW ORAN,ES-SENIA,ETAB  ,31005
3893.0,1280,31,UPW ORAN,ES-SENIA-ZERBANI-MOHAMED,ETAB  ,31006
263.0,1281,31,UPW ORAN,ORAN-EL-MAKKARI,ETAB  ,31007
264.0,1282,31,UPW ORAN,ORAN-EL-MOUDJAHED,ETAB  ,31008
265.0,1283,31,UPW ORAN,ORAN-EMIR-KHALED,ETAB  ,31009
641.0,1284,31,UPW ORAN,ORAN-ES-SABBAH,ETAB  ,31010
3898.0,1285,31,UPW ORAN,ORAN-HAI-BADR,ETAB  ,31011
268.0,1286,31,UPW ORAN,ORAN-OUSSAMA,ETAB  ,31012
3900.0,1287,31,UPW ORAN,ORAN-SEDDIKIA,ETAB  ,31013
258.0,1288,31,UPW ORAN,AIN-EL-TURK,ETAB  ,31014
3902.0,1289,31,UPW ORAN,BETTIOUA,ETAB  ,31015
586.0,1290,31,UPW ORAN,BOU-TLELIS,ETAB  ,31016
261.0,1291,31,UPW ORAN,GDYEL,ETAB  ,31017
3905.0,1292,31,UPW ORAN,GDYEL-AHMED-ZABANA,ETAB  ,31018
617.0,1293,31,UPW ORAN,MERS-EL-KEBIR,ETAB  ,31019
597.0,1294,31,UPW ORAN,ORAN-IMAM-EL-HOUARI,ETAB  ,31020
596.0,1295,31,UPW ORAN,ORAN-SIDI-EL-BACHIR,ETAB  ,31021
564.0,1296,31,UPW ORAN,AKID-ABBES,ETAB  ,31022
555.0,1297,31,UPW ORAN,BIR-EL-DJIR,ETAB  ,31023
550.0,1298,31,UPW ORAN,BOUFATIS,ETAB  ,31024
562.0,1299,31,UPW ORAN,BOU-SFER,ETAB  ,31025
549.0,1300,31,UPW ORAN,EL-KERMA,ETAB  ,31026
553.0,1301,31,UPW ORAN,HASSIANE-ETTOUAL,ETAB  ,31027
551.0,1302,31,UPW ORAN,HASSI-BOUNIF,ETAB  ,31028
560.0,1303,31,UPW ORAN,KHALED-IBN-EL-OUALID,ETAB  ,31029
3917.0,1304,31,UPW ORAN,MERS-EL-HADJADJ,ETAB  ,31030
587.0,1305,31,UPW ORAN,MISSERGHINE,ETAB  ,31031
598.0,1306,31,UPW ORAN,ORAN-AHMED-MEDEGHRI,ETAB  ,31032
3920.0,1307,31,UPW ORAN,ORAN-EL-FETH,ETAB  ,31033
